id,district,primary_crop,year,month,day_of_year,season,is_kharif,is_rabi,rainfall_mm,temperature_c,humidity_pct,dam_level_pct,groundwater_level_m,crop_price_inr_qtl,price_volatility,msp_gap_inr,subsidy_delay_days,insurance_claim_rate,pm_kisan_coverage,complaint_count,distress_news_score,water_stress_index,market_stress_index,gov_failure_score,risk_score,risk_label,risk_category
1,Dharwad,Cotton,2022,1,78,Rabi,0,1,4.2,30.1,57.0,35.4,43.7,6980,857.4,4797,11,0.484,0.663,10,19.7,60.4,85.7,22.3,35.0,1,Alert
2,Kalaburagi,Soybean,2023,2,338,Rabi,0,1,4.7,33.5,41.0,19.5,34.4,4734,626.5,2551,81,0.521,0.625,10,36.2,73.0,62.6,59.2,29.6,1,Alert
3,Dharwada,Cotton,2022,8,195,Kharif,1,0,65.0,37.7,64.6,39.2,37.9,6666,816.5,4483,24,0.423,0.628,5,14.2,61.5,81.7,30.6,35.9,1,Alert
4,Koppal,Paddy,2023,8,107,Kharif,1,0,44.7,38.1,54.6,33.7,34.8,2111,242.1,-72,17,0.514,0.675,7,25.9,65.8,24.9,24.7,16.7,0,Safe
5,Shivamogga,Paddy,2024,3,15,Summer,0,0,24.6,35.0,74.5,46.7,25.9,2325,272.3,142,14,0.237,0.676,5,0.0,63.7,27.2,23.2,19.1,0,Safe
6,Mysuru,Paddy,2024,2,315,Rabi,0,1,6.8,33.9,70.6,57.4,34.7,2154,245.7,-29,8,0.209,0.765,2,0.0,54.0,24.9,15.8,17.9,0,Safe
7,Dharwada,Cotton,2024,4,6,Summer,0,0,32.4,37.8,65.9,27.8,19.2,7598,816.3,5415,10,0.522,0.688,5,43.7,76.5,81.6,20.6,31.5,1,Alert
8,Chikkamagaluru,Coffee,2022,6,139,Kharif,1,0,91.6,22.6,76.8,32.1,40.7,8787,1222.7,6604,24,0.161,0.674,1,41.0,63.6,122.3,28.3,40.2,1,Alert
9,Dharwad,Cotton,2023,3,95,Summer,0,0,12.7,38.2,67.9,38.7,32.0,7318,842.1,5135,54,0.404,0.704,9,16.5,64.7,84.2,41.8,32.0,1,Alert
10,Ramanagara,Ragi,2022,9,225,Kharif,1,0,153.2,36.3,47.2,26.6,45.7,3589,495.0,1406,63,0.306,0.625,8,17.3,63.9,49.5,50.2,34.0,1,Alert
11,Bidar,Sorghum,2022,10,118,Summer,0,0,98.4,35.1,55.0,34.6,45.1,3006,401.3,823,16,0.538,0.58,10,33.3,60.2,40.1,29.0,30.4,1,Alert
12,Udupi,Paddy,2022,8,328,Kharif,1,0,222.5,31.4,81.4,71.7,39.3,2165,250.8,-18,31,0.069,0.814,1,10.5,44.5,25.3,24.8,8.4,0,Safe
13,Shivamogga,Paddy,2022,9,137,Kharif,1,0,182.0,31.6,65.1,73.4,46.8,2195,254.1,12,19,0.212,0.792,0,7.9,39.9,25.4,19.9,11.4,0,Safe
14,Shivamogga,Paddy,2024,9,180,Kharif,1,0,162.2,35.2,71.1,77.6,23.6,2235,223.3,52,126,0.162,0.728,2,0.0,49.4,22.3,76.6,23.7,0,Safe
15,Chamarajanagar,Ragi,2023,3,32,Summer,0,0,30.4,35.8,76.0,37.9,22.0,4014,474.4,1831,19,0.173,0.763,3,55.1,70.0,47.4,21.4,20.7,0,Safe
16,Chikkamagaluru,Coffee,2023,3,162,Summer,0,0,32.7,25.2,72.4,54.2,32.6,10175,1136.4,7992,23,0.114,0.702,0,8.9,56.6,113.6,26.4,30.3,1,Alert
17,Yadgir,Paddy,2024,3,97,Summer,0,0,13.5,41.2,64.2,17.5,24.5,2314,221.7,131,84,0.798,0.46,9,46.5,79.0,22.2,69.0,27.4,1,Alert
18,Mysuru,Paddy,2023,9,53,Kharif,1,0,134.0,34.3,68.8,67.6,39.8,2287,262.5,104,14,0.238,0.785,1,42.8,46.3,26.2,17.8,18.4,0,Safe
19,Chamarajanagar,Ragi,2022,7,246,Kharif,1,0,53.7,38.9,76.2,46.8,36.1,3719,498.9,1536,19,0.243,0.744,3,6.5,58.5,49.9,22.3,30.4,1,Alert
20,Raichur,Paddy,2022,2,309,Rabi,0,1,2.9,32.3,44.8,20.1,27.4,2138,284.7,-45,12,0.652,0.517,11,42.9,76.2,28.9,30.1,24.6,0,Safe
21,Kodagu,Coffee,2022,11,365,Rabi,0,1,86.9,16.9,58.8,86.8,40.2,9176,1068.8,6993,1,0.07,0.854,0,2.3,36.5,106.9,7.8,23.0,0,Safe
22,Chikkamagaluru,Coffee,2024,11,305,Rabi,0,1,41.8,16.8,71.2,85.2,47.7,9148,1172.7,6965,40,0.203,0.781,2,19.0,33.5,117.3,30.9,36.6,1,Alert
23,Kolar,Tomato,2024,5,137,Summer,0,0,53.4,38.9,68.7,13.8,31.9,757,20.0,-1426,26,0.475,0.702,15,2.1,77.2,16.3,27.9,19.5,0,Safe
24,Chamarajanagar,Ragi,2024,3,39,Summer,0,0,8.2,43.8,62.2,36.5,23.0,3894,435.7,1711,0,0.258,0.76,7,12.5,70.2,43.6,12.0,25.4,1,Alert
25,Davangere,Paddy,2024,4,293,Summer,0,0,37.7,37.8,62.2,39.4,15.1,2368,279.3,185,8,0.404,0.72,5,57.5,72.8,27.9,18.0,19.6,0,Safe
26,Uttara Kannada,Paddy,2023,2,62,Rabi,0,1,8.7,34.5,68.5,60.8,32.3,2064,256.8,-119,54,0.121,0.747,2,6.9,53.5,26.9,39.6,22.6,0,Safe
27,Bagalkot,Sugarcane,2022,5,284,Summer,0,0,14.0,36.5,70.6,26.7,33.6,3338,348.3,1155,39,0.502,0.639,11,29.9,69.8,34.8,37.5,40.0,1,Alert
28,Kolar,Tomato,2022,11,158,Rabi,0,1,25.0,37.2,60.6,28.5,32.1,645,74.1,-1538,19,0.438,0.61,3,29.6,69.7,22.8,29.0,17.4,0,Safe
29,Bengaluru,Tomato,2024,2,60,Rabi,0,1,8.6,32.3,63.8,26.5,39.6,696,59.8,-1487,28,0.151,0.614,4,41.5,67.0,20.8,33.3,17.7,0,Safe
30,Chikkamagaluru,Coffee,2023,7,226,Kharif,1,0,185.4,20.0,71.5,56.5,46.7,9966,1184.9,7783,61,0.093,0.721,3,6.9,48.4,118.5,44.5,35.3,1,Alert
31,Mandya,Sugarcane,2023,12,15,Rabi,0,1,5.7,33.1,69.5,64.2,33.1,3099,496.2,916,22,0.292,0.726,2,1.0,51.4,49.6,24.7,23.5,0,Safe
32,Davangere,Paddy,2022,7,236,Kharif,1,0,40.3,36.2,50.0,40.3,28.4,2273,210.9,90,142,0.488,0.642,12,25.4,65.7,21.1,88.9,34.5,1,Alert
33,Ramanagara,Ragi,2023,6,92,Kharif,1,0,84.7,39.0,58.9,22.2,24.1,3696,443.0,1513,35,0.29,0.631,3,3.2,76.8,44.3,36.0,28.0,1,Alert
34,Kodagu,Coffee,2022,6,262,Kharif,1,0,257.5,26.2,87.9,47.0,31.2,9679,1145.8,7496,11,0.175,0.811,4,27.0,60.9,114.6,14.9,30.5,1,Alert
35,Dharwada,Cotton,2024,12,12,Rabi,0,1,5.0,30.7,68.9,48.8,64.7,6747,833.7,4564,37,0.364,0.71,1,28.9,43.2,83.4,33.0,33.1,1,Alert
36,Davangere,Paddy,2024,5,24,Summer,0,0,33.0,33.6,55.4,23.4,40.1,2493,259.8,310,30,0.361,0.635,8,27.6,68.2,26.0,33.2,30.3,1,Alert
37,Chikkaballapur,Tomato,2023,9,316,Kharif,1,0,128.6,31.7,74.6,36.7,32.6,685,55.5,-1498,18,0.496,0.575,7,48.4,65.3,20.5,30.3,29.5,1,Alert
38,Haveri,Cotton,2022,12,313,Rabi,0,1,5.0,30.8,62.6,49.4,58.5,7090,852.9,4907,7,0.372,0.751,2,29.1,46.0,85.3,15.9,33.7,1,Alert
39,Bangalore Rural,Tomato,2024,1,35,Rabi,0,1,7.3,31.5,66.0,18.2,49.2,729,97.9,-1454,4,0.424,0.534,3,16.9,66.3,24.3,25.3,18.2,0,Safe
40,Bangalore Rural,Tomato,2022,6,86,Kharif,1,0,53.4,36.7,55.6,17.3,27.5,705,91.4,-1478,48,0.334,0.634,9,14.2,77.6,23.9,42.3,27.9,1,Alert
41,Hassan,Paddy,2024,9,324,Kharif,1,0,137.9,36.0,66.5,68.4,41.5,2091,248.3,-92,28,0.203,0.704,7,32.3,45.0,25.8,28.8,13.4,0,Safe
42,Bengaluru,Tomato,2023,10,265,Summer,0,0,107.0,36.6,65.6,20.5,62.0,644,28.4,-1539,25,0.302,0.581,4,25.3,58.8,18.2,33.5,18.5,0,Safe
43,Bengaluru,Tomato,2024,9,51,Kharif,1,0,62.5,33.4,54.7,28.0,27.8,702,39.9,-1481,34,0.226,0.596,3,0.0,72.1,18.8,37.2,18.7,0,Safe
44,Gadag,Wheat,2024,7,312,Kharif,1,0,82.7,34.3,64.9,28.1,37.2,2108,296.3,-75,33,0.613,0.65,9,32.1,67.3,30.4,34.0,26.1,1,Alert
45,Koppal,Paddy,2023,9,164,Kharif,1,0,53.3,33.1,55.9,38.9,29.5,2079,307.7,-104,8,0.477,0.586,5,17.4,65.8,31.8,24.7,27.5,1,Alert
46,Uttara Kannada,Paddy,2023,10,125,Summer,0,0,262.6,31.3,82.6,100.0,43.0,2102,199.1,-81,8,0.094,0.706,1,9.6,28.5,20.7,18.7,4.2,0,Safe
47,Uttara Kannada,Paddy,2023,6,67,Kharif,1,0,65.1,29.8,83.6,43.5,44.7,2141,280.8,-42,3,0.158,0.748,3,7.4,55.9,28.5,14.1,32.3,1,Alert
48,Koppal,Paddy,2024,1,144,Rabi,0,1,3.6,30.7,57.3,43.0,44.2,2098,294.9,-85,59,0.51,0.571,5,18.2,56.4,30.3,51.0,19.5,0,Safe
49,Uttara Kannada,Paddy,2022,9,258,Kharif,1,0,167.5,30.7,67.0,77.5,56.5,2255,218.7,72,38,0.143,0.751,2,6.3,33.0,21.9,31.4,11.3,0,Safe
50,Bidar,Sorghum,2023,8,158,Kharif,1,0,67.8,34.4,61.9,31.8,25.2,2964,345.0,781,106,0.647,0.543,11,42.7,71.5,34.5,75.8,17.9,0,Safe
51,Davangere,Paddy,2022,4,12,Summer,0,0,25.2,39.5,63.1,26.1,16.6,2260,258.2,77,5,0.467,0.724,3,40.2,78.7,25.8,16.3,17.7,0,Safe
52,Udupi,Paddy,2023,9,263,Kharif,1,0,184.8,27.4,77.4,84.4,40.8,2301,281.5,118,13,0.016,0.868,1,1.1,37.4,28.1,13.1,18.3,0,Safe
53,Kalaburagi,Soybean,2024,3,155,Summer,0,0,13.3,38.6,64.3,22.0,28.4,4985,559.4,2802,6,0.633,0.559,5,19.9,74.8,55.9,25.0,24.4,0,Safe
54,Chikkaballapur,Tomato,2022,3,188,Summer,0,0,13.3,38.8,77.8,20.4,26.8,707,113.3,-1476,73,0.47,0.658,7,31.4,76.4,26.1,53.6,24.5,0,Safe
55,Raichur,Paddy,2022,12,284,Rabi,0,1,8.1,37.0,57.3,32.4,30.1,2103,270.7,-80,49,0.694,0.513,4,58.5,68.8,27.9,48.8,21.9,0,Safe
